#fields=ID[type='string'],station name[type='string'],latitude,longitude,ellipsoid height[unit='m'],data_start_time[type='date' format='yyyy-MM-ddTHH:mm:ss],data_stop_time[type='date' format='yyyy-MM-ddTHH:mm:ss]
SEAS,Seaside_COMMA_ OR,45.9842,-123.9224,0.0,,
SEAT,Seattle_COMMA_ WA,47.654,-122.3095,0.0,,
SEDK,Sedro Wooley_COMMA_ WA,48.5041,-122.2389,0.0,,
SEDR,Sedro-Woolley_COMMA_ WA,48.5216,-122.2238,0.0,,
SEQM,Sequim_COMMA_ WA,48.0914,-123.1135,0.0,,
SKMA,Stevenson_COMMA_ WA,45.6942,-121.8839,0.0,,
SMAI,West Seattle_COMMA_ WA,47.5235,-122.345,0.0,,
SNOQ,Snoqualmie Pass_COMMA_ WA,47.3915,-121.3877,0.0,,
SNRS,Ashford_COMMA_ WA,46.9146,-121.6436,0.0,,
SQIM,Sequim_COMMA_ WA,48.0823,-123.102,0.0,,
SSHO,Seattle_COMMA_ WA,47.6822,-122.3151,0.0,,
STAR,Ashford_COMMA_ WA,46.8508,-121.7939,0.0,,
STAY,Stayton_COMMA_ OR,44.8307,-122.8208,0.0,,
STHM,Sweet Home_COMMA_ OR,44.3961,-122.7342,0.0,,
SUHS,Myrtle Creek_COMMA_ OR,42.9869,-123.3288,0.0,,
TACO,Tacoma_COMMA_ WA,47.2288,-122.4714,0.0,,
TDLS,The Dalles_COMMA_ OR,45.6077,-121.1295,0.0,,
TGAU,Guacamole_COMMA_ WA,46.1309,-122.1132,0.0,,
THAR,Cougar_COMMA_ WA,46.2753,-122.174,0.0,,
THUN,Puyallup_COMMA_ WA,47.106,-122.2879,0.0,,
TILL,Tillamook_COMMA_ OR,45.4551,-123.8307,0.0,,
TPW2,Astoria_COMMA_ OR,46.2074,-123.7684,0.0,,
TRI1,Kirkland_COMMA_ WA,47.7087,-122.1874,0.0,,
TSTU,Studebaker_COMMA_ WA,46.1412,-122.1327,0.0,,
TUMW,Tumwater_COMMA_ WA,46.9842,-122.9121,0.0,,
TWHL,Tumwater_COMMA_ WA,47.0057,-122.5522,0.0,,
